type,address,title,first_seen,decided,council_appearances,days_first_to_last,outcome,resolutions
DP,50 Currie Street,Development Permit Application – 36 Highway 37,2022-02-07,2022-02-07,1,0,Referred (no final vote seen),R22-048
DVP,50 Currie Street,Development Variance Permit Application – 36 Highway 37,2022-02-07,2022-02-07,1,0,Referred (no final vote seen),R22-049
DP,,Development Permit Application – 36 Highway 37,2022-03-07,2022-03-07,1,0,Carried,R22-073
DP,,“THAT the development permit application for a proposed commercial development,2022-03-07,2022-03-07,1,0,Carried,R22-073
DVP,,Approval be given for the development variance permit application to reduce the,2022-03-07,2022-03-07,1,0,Carried,R22-073
DP,,Development Permit Application – 36 Highway 37 (7.8.3.165),2022-03-07,2022-03-07,1,0,Carried,R22-074
DVP,,Development Variance Permit Application – 36 Highway 37,2022-03-07,2022-03-07,1,0,Carried,R22-074
DVP,,“THAT the development variance permit application to reduce the minimum required,2022-03-07,2022-03-07,1,0,Carried,R22-074
DVP,,Development Variance Permit Application – 36 Highway 37 (7.9.3.111),2022-03-07,2022-03-07,1,0,Carried,R22-075
DVP,35 Dunn Street,Development Variance Permit Application – 35 Dunn Street,2022-04-04,2022-04-04,1,0,Referred (no final vote seen),R22-096
TUP,2150 Forest Avenue,“THAT temporary use permit application to allow installation and operation of a portable,2022-04-04,2022-04-04,1,0,Referred (no final vote seen),R22-097
DP,,Development Permit Application – Wakita/Nalabila,2022-05-02,2022-05-02,1,0,Referred (no final vote seen),R22-118
DP,,“THAT the development permit application for a proposed multi-family residential,2022-05-02,2022-08-02,2,92,Carried,R22-118 R22-165
DP,,Development Permit Application – Wakita/Nalabila (7.8.3.167),2022-05-02,2022-05-02,1,0,Carried,R22-119
DVP,56 Meldrum Street,Development Variance Permit Application – 56 Meldrum Street,2022-07-18,2022-07-18,1,0,Carried,R22-157
DP,,Development Permit Application Wakita x Nalabila,2022-08-02,2022-11-21,2,111,Carried,R22-165 R22-203
DP,,Development Permit Application Wakita x Nalabila (7.8.3.167),2022-08-02,2022-08-02,1,0,Carried,R22-166
