"PermitNum","StatusCurrent","AppliedDate","IssuedDate","CompletedDate","PermitType","PermitTypeMapped","PermitClass","PermitClassGroup","PermitClassMapped","WorkClass","WorkClassGroup","WorkClassMapped","Description","ApplicantName","ContractorName","HousingUnits","EstProjectCost","TotalSqFt","OriginalAddress","CommunityCode","CommunityName","Latitude","Longitude","LocationCount","LocationTypes","LocationAddresses","LocationsWKT","LocationsGeoJSON","Point"
"BP2017-03398","Completed","2017/04/06","2017/09/14","2019/08/01","Commercial / Multi Family Project","Building","3402 - Office","Commercial","Non-Residential","New","New","New","New 2 storey mixed use building","ABANOUB DEVELOPMENT",,"0","$2,000,000",,"178 96 AV NE","HAR","HARVEST HILLS","51.14184739019","-114.06635646766","1","Titled Parcel","178 96 AV NE","POINT (-114.06635646766222 51.14184739018853)","{""type"":""Point"",""coordinates"":[-114.0663565,51.1418474]}","POINT (-114.06635646766222 51.14184739018853)"
"BP2024-19429","Completed","2024/09/12","2024/09/13","2024/12/12","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage","ELEGANT CONSTRUCTION","ELEGANT CONSTRUCTION","0","$42,434",,"72 HARVEST GOLD CI NE","HAR","HARVEST HILLS","51.14467266907","-114.06405567258","2","Titled Parcel;Building","72 HARVEST GOLD CI NE;72 HARVEST GOLD CI NE","MULTIPOINT (-114.0640556725764 51.14467266907331,-114.06402766506928 51.14475794158096)","{""type"":""MultiPoint"",""coordinates"":[[-114.0640557,51.1446727],[-114.0640277,51.1447579]]}","POINT (-114.0640556725764 51.14467266907331)"
"BP2024-16967","Completed","2024/08/14","2024/10/01","2025/03/10","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements",,,"0","$10,000",,"108 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.15134514332","-114.05338566341","2","Titled Parcel;Building","108 HARVEST HILLS DR NE;108 HARVEST HILLS DR NE","MULTIPOINT (-114.05338566341466 51.151345143322345,-114.05336969379692 51.15145335805087)","{""type"":""MultiPoint"",""coordinates"":[[-114.0533857,51.1513451],[-114.0533697,51.1514534]]}","POINT (-114.05338566341466 51.151345143322345)"
"BP2024-16959","Completed","2024/08/14","2024/08/28","2024/11/13","Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"106R HARVEST CREEK CL NE","HAR","HARVEST HILLS","51.14647422281","-114.04363480141","3","Titled Parcel;Building;Building Suite","106 HARVEST CREEK CL NE;106 HARVEST CREEK CL NE;106R HARVEST CREEK CL NE","MULTIPOINT (-114.04363480141492 51.14647422280703,-114.04344833561468 51.14643000956503,-114.04332753377135 51.146392711673975)","{""type"":""MultiPoint"",""coordinates"":[[-114.0436348,51.1464742],[-114.0434483,51.14643],[-114.0433275,51.1463927]]}","POINT (-114.04363480141492 51.14647422280703)"
"BP2023-22141","Completed","2023/12/30","2024/01/18","2024/10/09","Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"37R HARVEST GLEN LI NE","HAR","HARVEST HILLS","51.14551029545","-114.0488041434","3","Titled Parcel;Building;Building Suite","37 HARVEST GLEN LI NE;37 HARVEST GLEN LI NE;37R HARVEST GLEN LI NE","MULTIPOINT (-114.04880414339858 51.14551029544503,-114.04893069053222 51.14561321819029,-114.04899710594397 51.14568252700133)","{""type"":""MultiPoint"",""coordinates"":[[-114.0488041,51.1455103],[-114.0489307,51.1456132],[-114.0489971,51.1456825]]}","POINT (-114.04880414339858 51.14551029544503)"
"BP2023-12038","Completed","2023/07/26","2023/10/05","2024/04/09","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition",,"TATARYN ENTERPRISES","0","$44,492",,"77 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.14282499412","-114.04984144133","2","Titled Parcel;Building","77 HARVEST GLEN WY NE;77 HARVEST GLEN WY NE","MULTIPOINT (-114.04984144133105 51.142824994121035,-114.04979345146968 51.14271756208476)","{""type"":""MultiPoint"",""coordinates"":[[-114.0498414,51.142825],[-114.0497935,51.1427176]]}","POINT (-114.04984144133105 51.142824994121035)"
"BP2022-06554","Completed","2022/04/24","2022/05/17","2024/03/07","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition","SEVEN DAY PERMITS","SUNCOAST SCREEN ENCLOSURES","0","$27,020",,"333 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.15291113779","-114.04259862882","2","Titled Parcel;Building","333 HARVEST HILLS WY NE;333 HARVEST HILLS WY NE","MULTIPOINT (-114.04259862882134 51.152911137786596,-114.04270644689558 51.152909884881886)","{""type"":""MultiPoint"",""coordinates"":[[-114.0425986,51.1529111],[-114.0427064,51.1529099]]}","POINT (-114.04259862882134 51.152911137786596)"
"BP2022-11568","Completed","2022/07/03","2023/11/07","2024/09/10","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition, Deck","FRESH START PROJECTS",,"0","$57,661",,"481 HARVEST LAKE DR NE","HAR","HARVEST HILLS","51.14688518778","-114.05252054917","2","Titled Parcel;Building","481 HARVEST LAKE DR NE;481 HARVEST LAKE DR NE","MULTIPOINT (-114.05252054916602 51.14688518778046,-114.05251234590766 51.14677218350388)","{""type"":""MultiPoint"",""coordinates"":[[-114.0525205,51.1468852],[-114.0525123,51.1467722]]}","POINT (-114.05252054916602 51.14688518778046)"
"BP2024-06172","Completed","2024/04/08","2024/04/23","2024/10/30","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements",,,"0","$7,200",,"182 HARVEST PARK CI NE","HAR","HARVEST HILLS","51.14596793235","-114.05592287201","2","Titled Parcel;Building","182 HARVEST PARK CI NE;182 HARVEST PARK CI NE","MULTIPOINT (-114.0559228720058 51.145967932351944,-114.05592655491074 51.14607074438709)","{""type"":""MultiPoint"",""coordinates"":[[-114.0559229,51.1459679],[-114.0559266,51.1460707]]}","POINT (-114.0559228720058 51.145967932351944)"
"BP2023-19955","Completed","2023/11/20","2024/01/11","2024/03/08","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1","$55,542",,"870R HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.1433898412","-114.05462216217","3","Titled Parcel;Building;Building Suite","870 HARVEST HILLS DR NE;870 HARVEST HILLS DR NE;870R HARVEST HILLS DR NE","MULTIPOINT (-114.0546221621714 51.1433898411963,-114.05459764760691 51.14328827037147,-114.05455981868643 51.14322705099343)","{""type"":""MultiPoint"",""coordinates"":[[-114.0546222,51.1433898],[-114.0545976,51.1432883],[-114.0545598,51.1432271]]}","POINT (-114.0546221621714 51.1433898411963)"
"BP2024-10208","Completed","2024/05/28","2024/08/23","2025/03/03","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1","$56,677",,"42B HARVEST PARK CI NE","HAR","HARVEST HILLS","51.14405987904","-114.05572867833","3","Titled Parcel;Building;Building Suite","42 HARVEST PARK CI NE;42 HARVEST PARK CI NE;42B HARVEST PARK CI NE","MULTIPOINT (-114.05572867833318 51.14405987904144,-114.05570034055746 51.14396629302793,-114.05576782594883 51.14395644424992)","{""type"":""MultiPoint"",""coordinates"":[[-114.0557287,51.1440599],[-114.0557003,51.1439663],[-114.0557678,51.1439564]]}","POINT (-114.05572867833318 51.14405987904144)"
"BP2025-17206","Completed","2025/09/03","2025/10/09","2025/11/20","Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"348R HARVEST LAKE DR NE","HAR","HARVEST HILLS","51.14463529042","-114.04706145758","3","Titled Parcel;Building;Building Suite","348 HARVEST LAKE DR NE;348 HARVEST LAKE DR NE;348R HARVEST LAKE DR NE","MULTIPOINT (-114.04706145757895 51.14463529041827,-114.04692984639954 51.14473219702254,-114.04688772633808 51.14477130959341)","{""type"":""MultiPoint"",""coordinates"":[[-114.0470615,51.1446353],[-114.0469298,51.1447322],[-114.0468877,51.1447713]]}","POINT (-114.04706145757895 51.14463529041827)"
"BP2022-15027","Completed","2022/09/01","2022/10/12","2024/03/12","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","New","New","New","Deck, Improvements",,,"0","$4,628",,"567 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.14494970266","-114.06054175069","2","Titled Parcel;Building","567 HARVEST HILLS DR NE;567 HARVEST HILLS DR NE","MULTIPOINT (-114.0605417506934 51.14494970265842,-114.0603588575892 51.14493495538359)","{""type"":""MultiPoint"",""coordinates"":[[-114.0605418,51.1449497],[-114.0603589,51.144935]]}","POINT (-114.0605417506934 51.14494970265842)"
"BP2000-07161","Completed","2000/06/30","2000/06/30","2001/11/02","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$2,408",,"10 HARVEST OAK CR NE","HAR","HARVEST HILLS","51.15269858372","-114.06330254695","1","Titled Parcel","10 HARVEST OAK CR NE","POINT (-114.063302546954 51.152698583724714)","{""type"":""Point"",""coordinates"":[-114.0633025,51.1526986]}","POINT (-114.063302546954 51.152698583724714)"
"BP2025-00589","Completed","2025/01/13","2025/02/18","2025/06/13","Commercial / Multi Family Project","Building","2507 - Veterinary Clinic","Industrial","Non-Residential","Alteration","Improvement","Existing","Interior Alterations",,,"0","$358,599",,"#107 160 96 AV NE","HAR","HARVEST HILLS","51.14184739082","-114.06635646766","3","Titled Parcel;Building;Building Suite","178 96 AV NE;160 96 AV NE;#107 160 96 AV NE","MULTIPOINT (-114.06635646766274 51.141847390820914,-114.06666906946381 51.14219217935244,-114.0666053973052 51.14208774767497)","{""type"":""MultiPoint"",""coordinates"":[[-114.0663565,51.1418474],[-114.0666691,51.1421922],[-114.0666054,51.1420877]]}","POINT (-114.06635646766274 51.141847390820914)"
"BP2023-09580","Issued Permit","2023/06/19","2024/09/13",,"Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","New","New","New","Secondary Suite","KSB DESIGNS","KSB DESIGNS","1","$68,903",,"265B HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.15127029096","-114.04328168809","3","Titled Parcel;Building;Building Suite","265 HARVEST HILLS WY NE;265 HARVEST HILLS WY NE;265B HARVEST HILLS WY NE","MULTIPOINT (-114.04328168808821 51.151270290961314,-114.04342662597487 51.1513185561756,-114.04342341681264 51.15135633153486)","{""type"":""MultiPoint"",""coordinates"":[[-114.0432817,51.1512703],[-114.0434266,51.1513186],[-114.0434234,51.1513563]]}","POINT (-114.04328168808821 51.151270290961314)"
"BP2023-13996","Completed","2023/08/21","2023/09/14","2024/04/17","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","New","New","New","Secondary Suite","SS RENOVATION AND DECORATING","SS RENOVATION AND DECORATING","1","$41,918",,"36B HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.1428033582","-114.05131288701","3","Titled Parcel;Building;Building Suite","36 HARVEST GLEN WY NE;36 HARVEST GLEN WY NE;36B HARVEST GLEN WY NE","MULTIPOINT (-114.05131288701327 51.14280335819622,-114.05112604141746 51.142848441863386,-114.05108676612316 51.142805911331756)","{""type"":""MultiPoint"",""coordinates"":[[-114.0513129,51.1428034],[-114.051126,51.1428484],[-114.0510868,51.1428059]]}","POINT (-114.05131288701327 51.14280335819622)"
"BP2024-25467","Issued Permit","2024/12/09","2024/12/18",,"Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"149 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14193697693","-114.06042458583","2","Titled Parcel;Building","149 HARVEST ROSE CI NE;149 HARVEST ROSE CI NE","MULTIPOINT (-114.06042458582682 51.14193697693077,-114.06038226228776 51.142028512749704)","{""type"":""MultiPoint"",""coordinates"":[[-114.0604246,51.141937],[-114.0603823,51.1420285]]}","POINT (-114.06042458582682 51.14193697693077)"
"BP2025-20043","Pending Plans Review","2025/10/12",,,"Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"233 HARVEST GLEN PL NE","HAR","HARVEST HILLS","51.14232653331","-114.05266811489","2","Titled Parcel;Building","233 HARVEST GLEN PL NE;233 HARVEST GLEN PL NE","MULTIPOINT (-114.0526681148927 51.14232653330856,-114.05276058537714 51.14243542739914)","{""type"":""MultiPoint"",""coordinates"":[[-114.0526681,51.1423265],[-114.0527606,51.1424354]]}","POINT (-114.0526681148927 51.14232653330856)"
"BP2001-00360","Completed","2001/01/16","2001/01/16","2002/05/13","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$7,875",,"159 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.14428641028","-114.04862895647","1","Titled Parcel","159 HARVEST GLEN WY NE","POINT (-114.04862895646735 51.144286410279996)","{""type"":""Point"",""coordinates"":[-114.048629,51.1442864]}","POINT (-114.04862895646735 51.144286410279996)"
"BP2023-07815","Completed","2023/05/25","2023/05/26","2024/03/20","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$28,680",,"161 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.1443456186","-114.04866510421","2","Titled Parcel;Building","161 HARVEST GLEN WY NE;161 HARVEST GLEN WY NE","MULTIPOINT (-114.04866510421205 51.144345618597555,-114.04852337250722 51.14440911694322)","{""type"":""MultiPoint"",""coordinates"":[[-114.0486651,51.1443456],[-114.0485234,51.1444091]]}","POINT (-114.04866510421205 51.144345618597555)"
"BP2024-09421","Completed","2024/05/16","2024/05/28","2024/06/26","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements",,,"0","$3,000",,"257 HARVEST GLEN PL NE","HAR","HARVEST HILLS","51.14208728033","-114.05350787287","2","Titled Parcel;Building","257 HARVEST GLEN PL NE;257 HARVEST GLEN PL NE","MULTIPOINT (-114.05350787286903 51.142087280329065,-114.05361352160163 51.14219685092908)","{""type"":""MultiPoint"",""coordinates"":[[-114.0535079,51.1420873],[-114.0536135,51.1421969]]}","POINT (-114.05350787286903 51.142087280329065)"
"BP2006-14080","Completed","2006/08/15","2006/08/15","2007/07/23","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0","$13,996",,"90 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14287208447","-114.06012391251","1","Titled Parcel","90 HARVEST ROSE CI NE","POINT (-114.06012391251471 51.14287208446855)","{""type"":""Point"",""coordinates"":[-114.0601239,51.1428721]}","POINT (-114.06012391251471 51.14287208446855)"
"BP2024-17665","Completed","2024/08/22","2024/09/26","2025/08/26","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$4,844",,"51 HARVEST GOLD HT NE","HAR","HARVEST HILLS","51.14597783844","-114.06264710662","2","Titled Parcel;Building","51 HARVEST GOLD HT NE;51 HARVEST GOLD HT NE","MULTIPOINT (-114.06264710661773 51.145977838438384,-114.06266133699837 51.14590080811431)","{""type"":""MultiPoint"",""coordinates"":[[-114.0626471,51.1459778],[-114.0626613,51.1459008]]}","POINT (-114.06264710661773 51.145977838438384)"
"BP2024-19737","Completed","2024/09/16","2025/05/15","2025/10/27","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","Alteration","Improvement","Existing","Secondary Suite","TP CONTRACTING",,"1","$73,357",,"151R HARVEST PARK TC NE","HAR","HARVEST HILLS","51.14595865381","-114.05819355605","3","Titled Parcel;Building;Building Suite","151 HARVEST PARK TC NE;151 HARVEST PARK TC NE;151R HARVEST PARK TC NE","MULTIPOINT (-114.0581935560517 51.14595865381254,-114.05818392197128 51.14607120811445,-114.05819539774602 51.14613894785988)","{""type"":""MultiPoint"",""coordinates"":[[-114.0581936,51.1459587],[-114.0581839,51.1460712],[-114.0581954,51.1461389]]}","POINT (-114.0581935560517 51.14595865381254)"
"BP2024-12091","Completed","2024/06/17","2024/09/18","2025/09/25","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1","$48,582",,"9735B HARVEST HILLS LI NE","HAR","HARVEST HILLS","51.14197463497","-114.0550140257","3","Titled Parcel;Building;Building Suite","9735 HARVEST HILLS LI NE;9735 HARVEST HILLS LI NE;9735B HARVEST HILLS LI NE","MULTIPOINT (-114.05501402570341 51.14197463497091,-114.05515674230448 51.14195986978923,-114.05507950381453 51.14192553001869)","{""type"":""MultiPoint"",""coordinates"":[[-114.055014,51.1419746],[-114.0551567,51.1419599],[-114.0550795,51.1419255]]}","POINT (-114.05501402570341 51.14197463497091)"
"BP2024-17726","Completed","2024/08/23","2024/09/18","2025/08/18","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0","$38,576",,"35 HARVEST WOOD WY NE","HAR","HARVEST HILLS","51.1519992784","-114.05135884761","2","Titled Parcel;Building","35 HARVEST WOOD WY NE;35 HARVEST WOOD WY NE","MULTIPOINT (-114.0513588476082 51.151999278398264,-114.05136629993552 51.15187532696181)","{""type"":""MultiPoint"",""coordinates"":[[-114.0513588,51.1519993],[-114.0513663,51.1518753]]}","POINT (-114.0513588476082 51.151999278398264)"
"BP2024-25857","Completed","2024/12/15","2025/02/06","2025/05/08","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements",,"MAXGREEN WINDOWS SIDING AND ROOFING","0","$9,500",,"74 HARVEST PARK CI NE","HAR","HARVEST HILLS","51.1442627121","-114.05452453968","2","Titled Parcel;Building","74 HARVEST PARK CI NE;74 HARVEST PARK CI NE","MULTIPOINT (-114.05452453967673 51.14426271210073,-114.05446097455338 51.14416764993616)","{""type"":""MultiPoint"",""coordinates"":[[-114.0545245,51.1442627],[-114.054461,51.1441676]]}","POINT (-114.05452453967673 51.14426271210073)"
"BP2002-01639","Completed","2002/02/15","2002/02/15","2003/02/25","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$8,080",,"226 HARVEST OAK RI NE","HAR","HARVEST HILLS","51.15140948404","-114.06149105687","1","Titled Parcel","226 HARVEST OAK RI NE","POINT (-114.06149105687228 51.15140948403879)","{""type"":""Point"",""coordinates"":[-114.0614911,51.1514095]}","POINT (-114.06149105687228 51.15140948403879)"
"BP2000-06721","Completed","2000/06/22","2000/06/22","2000/07/24","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$10,379",,"855 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.14352965044","-114.05526585308","1","Titled Parcel","855 HARVEST HILLS DR NE","POINT (-114.05526585308434 51.14352965044436)","{""type"":""Point"",""coordinates"":[-114.0552659,51.1435297]}","POINT (-114.05526585308434 51.14352965044436)"
"BP2012-09241","Completed","2012/07/06","2012/07/06","2012/08/31","Residential Improvement Project","Building","1601 - Basement Development","Townhouse","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$8,700",,"119 HARVEST GOLD PL NE","HAR","HARVEST HILLS","51.1425835115","-114.06501129085","2","Titled Parcel;Building","119 HARVEST GOLD PL NE;119 HARVEST GOLD PL NE","MULTIPOINT (-114.06501129084624 51.14258351150244,-114.06503204379644 51.14249394573973)","{""type"":""MultiPoint"",""coordinates"":[[-114.0650113,51.1425835],[-114.065032,51.1424939]]}","POINT (-114.06501129084624 51.14258351150244)"
"BP1999-11495","Completed","1999/09/30","1999/09/30","2001/03/01","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$2,323",,"11165 HARVEST WOOD RD NE","HAR","HARVEST HILLS","51.15281103418","-114.05403614134","1","Titled Parcel","11165 HARVEST WOOD RD NE","POINT (-114.05403614133763 51.15281103418115)","{""type"":""Point"",""coordinates"":[-114.0540361,51.152811]}","POINT (-114.05403614133763 51.15281103418115)"
"BP2022-10214","Completed","2022/06/13","2022/06/29","2023/05/31","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$3,523",,"162 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.14962394035","-114.04656079008","2","Titled Parcel;Building","162 HARVEST HILLS WY NE;162 HARVEST HILLS WY NE","MULTIPOINT (-114.04656079007992 51.149623940353834,-114.04651413520733 51.149521675570114)","{""type"":""MultiPoint"",""coordinates"":[[-114.0465608,51.1496239],[-114.0465141,51.1495217]]}","POINT (-114.04656079007992 51.149623940353834)"
"BP2010-11898","Completed","2010/09/14","2010/09/14","2011/08/08","Residential Improvement Project","Building","1604 - Deck","Townhouse","Residential","Alteration","Improvement","Existing","Deck","JOSEPH BUILDERS","JOSEPH BUILDERS","0","$1,985",,"41 HARVEST LAKE VI NE","HAR","HARVEST HILLS","51.14731270672","-114.05179094507","1","Titled Parcel","41 HARVEST LAKE VI NE","POINT (-114.05179094507277 51.147312706720726)","{""type"":""Point"",""coordinates"":[-114.0517909,51.1473127]}","POINT (-114.05179094507277 51.147312706720726)"
"BP2007-06546","Completed","2007/05/09","2007/05/09","2007/12/13","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck","BUILDING BLOX","BUILDING BLOX","0","$2,016",,"94 HARVEST OAK VW NE","HAR","HARVEST HILLS","51.14892011182","-114.06245475091","1","Titled Parcel","94 HARVEST OAK VW NE","POINT (-114.06245475090567 51.148920111817596)","{""type"":""Point"",""coordinates"":[-114.0624548,51.1489201]}","POINT (-114.06245475090567 51.148920111817596)"
"BP2006-14782","Cancelled","2006/08/25",,"2006/09/05","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing",,,,"0",,,"50 HARVEST OAK CI NE","HAR","HARVEST HILLS","51.15287884472","-114.06497089598","1","Titled Parcel","50 HARVEST OAK CI NE","POINT (-114.06497089598378 51.15287884472294)","{""type"":""Point"",""coordinates"":[-114.0649709,51.1528788]}","POINT (-114.06497089598378 51.15287884472294)"
"BP2024-01060","Cancelled","2024/01/21",,"2024/03/22","Commercial / Multi Family Project","Building","3399 - Motor-Vehicle Misc.","Commercial","Non-Residential","Alteration","Improvement","Existing","Repair Garage, F2","GO!TIRESHOP",,"0",,,"245 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14173615818","-114.0570602983","2","Titled Parcel;Building","245 HARVEST ROSE CI NE;245 HARVEST ROSE CI NE","MULTIPOINT (-114.05706029829588 51.14173615817868,-114.05704702997367 51.14182344452101)","{""type"":""MultiPoint"",""coordinates"":[[-114.0570603,51.1417362],[-114.057047,51.1418234]]}","POINT (-114.05706029829588 51.14173615817868)"
"BP2009-03298","Completed","2009/04/22","2009/07/10","2009/07/22","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition","OCTAGON RENOVATIONS","OCTAGON RENOVATIONS","0","$5,546",,"29 HARVEST PARK CO NE","HAR","HARVEST HILLS","51.15033867013","-114.05663725181","1","Titled Parcel","29 HARVEST PARK CO NE","POINT (-114.0566372518051 51.15033867012929)","{""type"":""Point"",""coordinates"":[-114.0566373,51.1503387]}","POINT (-114.0566372518051 51.15033867012929)"
"BP2019-03188","Completed","2019/03/28","2019/05/28","2019/10/22","Commercial / Multi Family Project","Building","5299 - Medical Misc.","Institutional","Non-Residential","Alteration","Improvement","Existing","Interior alterations","W D CONSTRUCTION & MILLWORK",,"0","$300,000",,"#219 160 96 AV NE","HAR","HARVEST HILLS","51.14184739019","-114.06635646766","4","Titled Parcel;Building;Building Suite;Building Suite","178 96 AV NE;160 96 AV NE;#225 160 96 AV NE;#219 160 96 AV NE","MULTIPOINT (-114.06635646766222 51.14184739018853,-114.06666906946327 51.14219217872005,-114.06683550520718 51.14223660914341,-114.06671508025123 51.14221841105929)","{""type"":""MultiPoint"",""coordinates"":[[-114.0663565,51.1418474],[-114.0666691,51.1421922],[-114.0668355,51.1422366],[-114.0667151,51.1422184]]}","POINT (-114.06635646766222 51.14184739018853)"
"BP2004-09437","Completed","2004/07/16","2004/08/06","2004/11/12","Commercial / Multi Family Project","Building","2352 - Telephone Exchange","Industrial","Non-Residential","Addition","Improvement","Existing","ADDITION","MECHWAVE ENGINEERING",,"0","$150,000",,"34 HARVEST OAK CR NE","HAR","HARVEST HILLS","51.15336222704","-114.06363843687","1","Titled Parcel","34 HARVEST OAK CR NE","POINT (-114.06363843686573 51.153362227041036)","{""type"":""Point"",""coordinates"":[-114.0636384,51.1533622]}","POINT (-114.06363843686573 51.153362227041036)"
"BP2019-00661","Completed","2019/01/21","2019/02/08","2019/09/27","Commercial / Multi Family Project","Building","3106 - Retail Shop","Commercial","Non-Residential","Alteration","Improvement","Existing",,"ABANOUB DEVELOPMENT",,"0","$70,000",,"#111 160 96 AV NE","HAR","HARVEST HILLS","51.14184739019","-114.06635646766","3","Titled Parcel;Building;Building Suite","178 96 AV NE;160 96 AV NE;#111 160 96 AV NE","MULTIPOINT (-114.06635646766222 51.14184739018853,-114.06666906946327 51.14219217872005,-114.0665200737886 51.14207181211815)","{""type"":""MultiPoint"",""coordinates"":[[-114.0663565,51.1418474],[-114.0666691,51.1421922],[-114.0665201,51.1420718]]}","POINT (-114.06635646766222 51.14184739018853)"
"BP2021-11857","Completed","2021/07/05","2021/07/15","2022/03/23","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$379,205","2,229","132 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.14934938563","-114.0474880909","2","Titled Parcel;Building","132 HARVEST HILLS WY NE;132 HARVEST HILLS WY NE","MULTIPOINT (-114.04748809089581 51.14934938563165,-114.04738365672307 51.14925524423681)","{""type"":""MultiPoint"",""coordinates"":[[-114.0474881,51.1493494],[-114.0473837,51.1492552]]}","POINT (-114.04748809089581 51.14934938563165)"
"BP2006-00623","Completed","2006/01/16","2006/03/14","2007/01/24","Commercial / Multi Family Project","Building","3608 - Restaurant","Commercial","Non-Residential","New","New","New","New Commercial","GGA - ARCHITECTURE",,"0","$309,800",,"#1301 9650 HARVEST HILLS BV NE","HHB","HARVEST HILLS BUSINESS PARK","51.14137745266","-114.0699929255","4","Titled Parcel;Building;Building Suite;Building Suite","9650 HARVEST HILLS BV NE;#1300 9650 HARVEST HILLS BV NE;#1305 9650 HARVEST HILLS BV NE;#1301 9650 HARVEST HILLS BV NE","MULTIPOINT (-114.06999292549744 51.14137745266247,-114.07007134130174 51.14105001400547,-114.07001297871315 51.1411154391994,-114.07010190491258 51.14102896006134)","{""type"":""MultiPoint"",""coordinates"":[[-114.0699929,51.1413775],[-114.0700713,51.14105],[-114.070013,51.1411154],[-114.0701019,51.141029]]}","POINT (-114.06999292549744 51.14137745266247)"
