"PermitNum","StatusCurrent","AppliedDate","IssuedDate","CompletedDate","PermitType","PermitTypeMapped","PermitClass","PermitClassGroup","PermitClassMapped","WorkClass","WorkClassGroup","WorkClassMapped","Description","ApplicantName","ContractorName","HousingUnits","EstProjectCost","TotalSqFt","OriginalAddress","CommunityCode","CommunityName","Latitude","Longitude","LocationCount","LocationTypes","LocationAddresses","LocationsWKT","LocationsGeoJSON","Point"
"BP2000-10066","Completed","2000/09/18","2000/09/29","2002/01/04","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,FIREPLACE,GARAGE,DECK,PORCH,","LANDMARK HOMES (CALGARY)","LANDMARK HOMES (CALGARY)","1","$142,642","2,028","319 HARVEST GROVE PL NE","HAR","HARVEST HILLS","51.14838796536","-114.04633106577","1","Titled Parcel","319 HARVEST GROVE PL NE","POINT (-114.04633106576628 51.14838796535963)","{""type"":""Point"",""coordinates"":[-114.0463311,51.148388]}","POINT (-114.04633106576628 51.14838796535963)"
"BP2019-13259","Completed","2019/09/26","2019/10/18","2020/11/23","Commercial / Multi Family Project","Building","1606 - Ths Townhouse","Townhouse","Residential","New","New","New","Harvest Hills The Terrace - Building 09","NORR ARCHITECTS ENGINEERS PLANNERS","CEDARGLEN LIVING","4","$987,720",,"128 HARVEST GROVE WK NE","HAR","HARVEST HILLS","51.15025490041","-114.04210125534","8","Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building;Building","134 HARVEST GROVE WK NE;130 HARVEST GROVE WK NE;128 HARVEST GROVE WK NE;132 HARVEST GROVE WK NE;130 HARVEST GROVE WK NE;128 HARVEST GROVE WK NE;134 HARVEST GROVE WK NE;132 HARVEST GROVE WK NE","MULTIPOINT (-114.04210125533542 51.15025490041014,-114.04225548660474 51.15032676136021,-114.04233758054912 51.15036718474204,-114.04218159096227 51.15029532453475,-114.04234063322991 51.1502512271696,-114.04242205345003 51.15028959212492,-114.04219136318653 51.15018090175806,-114.04227278315096 51.15021925782825)","{""type"":""MultiPoint"",""coordinates"":[[-114.0421013,51.1502549],[-114.0422555,51.1503268],[-114.0423376,51.1503672],[-114.0421816,51.1502953],[-114.0423406,51.1502512],[-114.0424221,51.1502896],[-114.0421914,51.1501809],[-114.0422728,51.1502193]]}","POINT (-114.04210125533542 51.15025490041014)"
"BP2001-05009","Completed","2001/05/14","2001/05/26","2003/04/07","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,FIREPLACE,GARAGE,DECK,PORCH,","PARKGREEN HOMES","PARKGREEN HOMES","1","$119,652","1,638","1210 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.14762846013","-114.04604294409","1","Titled Parcel","1210 HARVEST HILLS DR NE","POINT (-114.04604294408634 51.14762846012562)","{""type"":""Point"",""coordinates"":[-114.0460429,51.1476285]}","POINT (-114.04604294408634 51.14762846012562)"
"BP2014-10469","Completed","2014/07/09","2014/07/31","2015/03/12","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition, Deck","J T DEVELOPMENTS","J T DEVELOPMENTS","0","$54,885",,"112 HARVEST LAKE CR NE","HAR","HARVEST HILLS","51.14853741009","-114.05168993792","1","Titled Parcel","112 HARVEST LAKE CR NE","POINT (-114.05168993791607 51.14853741009032)","{""type"":""Point"",""coordinates"":[-114.0516899,51.1485374]}","POINT (-114.05168993791607 51.14853741009032)"
"BP2018-04007","Completed","2018/04/12","2018/05/16","2019/01/17","Commercial / Multi Family Project","Building","1606 - Ths Townhouse","Townhouse","Residential","New","New","New","New 4 unit townhomes.","NORR ARCHITECTS ENGINEERS PLANNERS","CEDARGLEN LIVING","4","$810,275",,"16 HARVEST HILLS MR NE","HAR","HARVEST HILLS","51.15305313634","-114.04736909266","5","Titled Parcel;Building;Building;Building;Building","18 HARVEST HILLS MR NE;20 HARVEST HILLS MR NE;18 HARVEST HILLS MR NE;22 HARVEST HILLS MR NE;16 HARVEST HILLS MR NE","MULTIPOINT (-114.04736909265891 51.15305313633793,-114.047089650698 51.153142839179154,-114.04718949533932 51.15314375183739,-114.04700492912431 51.153141920359744,-114.04727874617424 51.15314276290461)","{""type"":""MultiPoint"",""coordinates"":[[-114.0473691,51.1530531],[-114.0470897,51.1531428],[-114.0471895,51.1531438],[-114.0470049,51.1531419],[-114.0472787,51.1531428]]}","POINT (-114.04736909265891 51.15305313633793)"
"BP2019-05807","Completed","2019/05/16","2019/05/24","2019/11/19","Single Construction Permit","Building","1407 - Two Family Semi-Detached (1 Unit)","Two Family","Residential","New","New","New","SEMI-D,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$263,276","1,938","55 HARVEST GROVE CM NE","HAR","HARVEST HILLS","51.14724275567","-114.04383767488","2","Titled Parcel;Building","55 HARVEST GROVE CM NE;55 HARVEST GROVE CM NE","MULTIPOINT (-114.04383767487514 51.147242755672146,-114.04382061843472 51.147161109752055)","{""type"":""MultiPoint"",""coordinates"":[[-114.0438377,51.1472428],[-114.0438206,51.1471611]]}","POINT (-114.04383767487514 51.147242755672146)"
"BP2020-02987","Completed","2020/03/11","2020/04/09","2020/10/07","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,BSMT-DEV,GARAGE,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$522,771","3,067","49 HARVEST HILLS MR NE","HAR","HARVEST HILLS","51.15294599714","-114.04551632898","2","Titled Parcel;Building","49 HARVEST HILLS MR NE;49 HARVEST HILLS MR NE","MULTIPOINT (-114.04551632898375 51.15294599713982,-114.04548653450716 51.15288186817323)","{""type"":""MultiPoint"",""coordinates"":[[-114.0455163,51.152946],[-114.0454865,51.1528819]]}","POINT (-114.04551632898375 51.15294599713982)"
"BP2018-07873","Completed","2018/06/19","2018/06/26","2019/04/25","Commercial / Multi Family Project","Building","1606 - Ths Townhouse","Townhouse","Residential","New","New","New","New row townhouse of 6 residential units","NORR ARCHITECTS ENGINEERS PLANNERS","CEDARGLEN LIVING","6","$1,064,648",,"11180 HARVEST HILLS GA NE","HAR","HARVEST HILLS","51.15305313634","-114.04736909266","7","Titled Parcel;Building;Building;Building;Building;Building;Building","18 HARVEST HILLS MR NE;11188 HARVEST HILLS GA NE;11186 HARVEST HILLS GA NE;11184 HARVEST HILLS GA NE;11190 HARVEST HILLS GA NE;11182 HARVEST HILLS GA NE;11180 HARVEST HILLS GA NE","MULTIPOINT (-114.04736909265891 51.15305313633793,-114.0476667338543 51.15382761034156,-114.04767122199574 51.153785753097736,-114.04767117984122 51.153744841604066,-114.04766979797037 51.153874228976925,-114.0476711357231 51.15370202432311,-114.04767109063252 51.15365826313786)","{""type"":""MultiPoint"",""coordinates"":[[-114.0473691,51.1530531],[-114.0476667,51.1538276],[-114.0476712,51.1537858],[-114.0476712,51.1537448],[-114.0476698,51.1538742],[-114.0476711,51.153702],[-114.0476711,51.1536583]]}","POINT (-114.04736909265891 51.15305313633793)"
"BP2021-19469","Completed","2021/11/10","2021/11/29","2022/09/07","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$386,883","2,257","242 HARVEST HILLS CO NE","HAR","HARVEST HILLS","51.14827498862","-114.04783918443","2","Titled Parcel;Building","242 HARVEST HILLS CO NE;242 HARVEST HILLS CO NE","MULTIPOINT (-114.04783918443495 51.14827498862296,-114.04793398822052 51.148179894059595)","{""type"":""MultiPoint"",""coordinates"":[[-114.0478392,51.148275],[-114.047934,51.1481799]]}","POINT (-114.04783918443495 51.14827498862296)"
"BP2021-12046","Completed","2021/07/07","2021/07/22","2022/03/16","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$380,954","2,255","18 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.14716853271","-114.04961145617","2","Titled Parcel;Building","18 HARVEST HILLS WY NE;18 HARVEST HILLS WY NE","MULTIPOINT (-114.04961145616807 51.14716853270848,-114.04945625329017 51.14713787206381)","{""type"":""MultiPoint"",""coordinates"":[[-114.0496115,51.1471685],[-114.0494563,51.1471379]]}","POINT (-114.04961145616807 51.14716853270848)"
